Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Experience Growth Total,Pre-Evolution Pokemon Id
9,Blastoise,Shellfish Pokémon,Gigantamax,,25.0,0.0,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Rain Dish,The Pokémon gradually regains HP in rain.,Sword,79,83,100,85,105,78,530,0,0,0,0,3,0,3,1059860,
10,Caterpie,Worm Pokémon,,,0.3,2.9,Bug,,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,Red,45,30,35,20,20,45,195,1,0,0,0,0,0,1,1000000,
11,Metapod,Cocoon Pokémon,,,0.7,9.9,Bug,,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,Red,50,20,55,25,25,30,205,0,0,2,0,0,0,2,1000000,32.0
12,Butterfree,Butterfly Pokémon,,,1.1,32.0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Red,60,45,50,90,80,70,395,0,0,0,2,1,0,3,1000000,23.0
12,Butterfree,Butterfly Pokémon,Gigantamax,,17.0,0.0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Sword,60,45,50,90,80,70,395,0,0,0,2,1,0,3,1000000,
13,Weedle,Hairy Bug Pokémon,,,0.3,3.2,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,Red,40,35,30,20,20,50,195,0,0,0,0,0,1,1,1000000,
14,Kakuna,Cocoon Pokémon,,,0.6,10.0,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,Red,45,25,50,25,25,35,205,0,0,2,0,0,0,2,1000000,31.0
15,Beedrill,Poison Bee Pokémon,,,1.0,29.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,,,Sniper,Powers up moves if they become critical hits when attacking.,Red,65,90,40,45,80,75,395,0,2,0,0,1,0,3,1000000,30.0
15,Beedrill,Poison Bee Pokémon,Mega,,1.4,40.5,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon.,,,,,Omega Ruby,65,150,40,15,80,145,495,0,2,0,0,1,0,3,1000000,
16,Pidgey,Tiny Bird Pokémon,,,0.3,1.8,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,Red,40,45,40,35,35,56,251,0,0,0,0,0,1,1,1059860,
17,Pidgeotto,Bird Pokémon,,,1.1,30.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,Red,63,60,55,50,50,71,349,0,0,0,0,0,2,2,1059860,76.0
18,Pidgeot,Bird Pokémon,,,1.5,39.5,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,Red,83,80,75,70,70,101,479,0,0,0,0,0,3,3,1059860,77.0
18,Pidgeot,Bird Pokémon,Mega,,2.2,50.5,Normal,Flying,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,Omega Ruby,83,80,80,135,80,121,579,0,0,0,0,0,3,3,1059860,
19,Rattata,Mouse Pokémon,,,0.3,3.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,30,56,35,25,35,72,253,0,0,0,0,0,1,1,1000000,
19,Rattata,Mouse Pokémon,Alola,,0.3,3.8,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Sun,30,56,35,25,35,72,253,0,0,0,0,0,1,1,1000000,
20,Raticate,Mouse Pokémon,,,0.7,18.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,55,81,60,50,70,97,413,0,0,0,0,0,2,2,1000000,80.0
20,Raticate,Mouse Pokémon,Alola,,0.7,25.5,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Sun,75,71,70,40,80,77,413,0,0,0,0,0,2,2,1000000,81.0
21,Spearow,Tiny Bird Pokémon,,,0.3,2.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,Red,40,60,30,31,31,70,262,0,0,0,0,0,1,1,1000000,
22,Fearow,Beak Pokémon,,,1.2,38.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,Red,65,90,65,61,61,100,442,0,0,0,0,0,2,2,1000000,84.0
23,Ekans,Snake Pokémon,,,2.0,6.9,Poison,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Red,35,60,44,40,54,55,288,0,1,0,0,0,0,1,1000000,
24,Arbok,Cobra Pokémon,,,3.5,65.0,Poison,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Red,60,95,69,65,79,80,448,0,2,0,0,0,0,2,1000000,86.0
25,Pikachu,Mouse Pokémon,,,0.4,6.0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Red,35,55,40,50,50,90,320,0,0,0,0,0,2,2,1000000,88.0
25,Pikachu,Mouse Pokémon,Gigantamax,,21.0,0.0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Sword,35,55,40,50,50,90,320,0,0,0,0,0,2,2,1000000,
25,Pikachu,Mouse Pokémon,Starter,,0.4,6.0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Let's Go Pikachu,45,80,50,75,60,120,430,0,0,0,0,0,2,2,1000000,
26,Raichu,Mouse Pokémon,,,0.8,30.0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Red,60,90,55,90,80,110,485,0,0,0,0,0,3,3,1000000,89.0
26,Raichu,Mouse Pokémon,Alola,,0.7,21.0,Electric,Psychic,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,,,,,Sun,60,85,50,95,85,110,485,0,0,0,0,0,3,3,1000000,89.0
27,Sandshrew,Mouse Pokémon,,,0.6,12.0,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,Red,50,75,85,20,30,40,300,0,0,1,0,0,0,1,1000000,
27,Sandshrew,Mouse Pokémon,Alola,,0.7,40.0,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Sun,50,75,90,10,35,40,300,0,0,1,0,0,0,1,1000000,
28,Sandslash,Mouse Pokémon,,,1.0,29.5,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,Red,75,100,110,45,55,65,450,0,0,2,0,0,0,2,1000000,92.0
28,Sandslash,Mouse Pokémon,Alola,,1.2,55.0,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Sun,75,100,120,25,65,65,450,0,0,2,0,0,0,2,1000000,93.0
29,Nidoran (Female),Poison Pin Pokémon,,,0.4,7.0,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,55,47,52,40,40,41,275,1,0,0,0,0,0,1,1059860,
30,Nidorina,Poison Pin Pokémon,,,0.8,20.0,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,70,62,67,55,55,56,365,2,0,0,0,0,0,2,1059860,33.0
31,Nidoqueen,Drill Pokémon,,,1.3,60.0,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,Red,90,92,87,75,85,76,505,3,0,0,0,0,0,3,1059860,17.0
32,Nidoran (Male),Poison Pin Pokémon,,,0.5,9.0,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,46,57,40,40,40,50,273,0,1,0,0,0,0,1,1059860,
33,Nidorino,Poison Pin Pokémon,,,0.9,19.5,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Red,61,72,57,55,55,65,365,0,2,0,0,0,0,2,1059860,48.0
34,Nidoking,Drill Pokémon,,,1.4,62.0,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,Red,81,102,77,85,75,85,505,0,3,0,0,0,0,3,1059860,49.0
35,Clefairy,Fairy Pokémon,,,0.6,7.5,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,Red,70,45,48,60,65,35,323,2,0,0,0,0,0,2,800000,51.0
36,Clefable,Fairy Pokémon,,,1.3,40.0,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Red,95,70,73,95,90,60,483,3,0,0,0,0,0,3,800000,52.0
37,Vulpix,Fox Pokémon,,,0.6,9.9,Fire,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,Red,38,41,40,50,65,65,299,0,0,0,0,0,1,1,1000000,
37,Vulpix,Fox Pokémon,Alola,,0.6,9.9,Ice,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon makes it snow when it enters a battle.,Sun,38,41,40,50,65,65,299,0,0,0,0,0,1,1,1000000,
38,Ninetales,Fox Pokémon,,,1.1,19.9,Fire,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,Red,73,76,75,81,100,100,505,0,0,0,0,1,1,2,1000000,54.0
38,Ninetales,Fox Pokémon,Alola,,1.1,19.9,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon makes it snow when it enters a battle.,Sun,73,67,75,81,100,109,505,0,0,0,0,0,2,2,1000000,55.0
39,Jigglypuff,Balloon Pokémon,,,0.5,5.5,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,Red,115,45,20,45,25,20,270,2,0,0,0,0,0,2,800000,58.0
40,Wigglytuff,Balloon Pokémon,,,1.0,12.0,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Red,140,70,45,85,50,45,435,3,0,0,0,0,0,3,800000,59.0
41,Zubat,Bat Pokémon,,,0.8,7.5,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Red,40,45,35,30,40,55,245,0,0,0,0,0,1,1,1000000,
42,Golbat,Bat Pokémon,,,1.6,55.0,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Red,75,80,70,65,75,95,460,0,0,0,0,0,2,2,1000000,61.0
43,Oddish,Weed Pokémon,,,0.5,5.4,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,,,Run Away,Enables a sure getaway from wild Pokémon.,Red,45,50,55,75,65,30,320,0,0,0,1,0,0,1,1059860,
44,Gloom,Weed Pokémon,,,0.8,8.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,,,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",Red,60,65,70,85,75,40,395,0,0,0,2,0,0,2,1059860,64.0
45,Vileplume,Flower Pokémon,,,1.2,18.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,,,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Red,75,80,85,110,90,50,490,0,0,0,3,0,0,3,1059860,65.0
46,Paras,Mushroom Pokémon,,,0.3,5.4,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Red,35,70,55,45,55,25,285,0,1,0,0,0,0,1,1000000,
47,Parasect,Mushroom Pokémon,,,1.0,29.5,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Red,60,95,80,60,80,30,405,0,2,1,0,0,0,3,1000000,68.0
48,Venonat,Insect Pokémon,,,1.0,30.0,Bug,Poison,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Run Away,Enables a sure getaway from wild Pokémon.,Red,60,55,50,40,55,45,305,0,0,0,0,1,0,1,1000000,
49,Venomoth,Poison Moth Pokémon,,,1.5,12.5,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Wonder Skin,Makes status moves more likely to miss.,Red,70,65,60,90,75,90,450,0,0,0,1,0,1,2,1000000,70.0
50,Diglett,Mole Pokémon,,,0.2,0.8,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Red,10,55,25,35,45,95,265,0,0,0,0,0,1,1,1000000,
50,Diglett,Mole Pokémon,Alola,,0.2,1.0,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Sun,10,55,30,35,45,90,265,0,0,0,0,0,1,1,1000000,
51,Dugtrio,Mole Pokémon,Alola,,0.7,66.6,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Sun,35,100,60,50,70,110,425,0,2,0,0,0,0,2,1000000,74.0
51,Dugtrio,Mole Pokémon,,,0.7,33.3,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Red,35,100,50,50,70,120,425,0,0,0,0,0,2,2,1000000,72.0
52,Meowth,Scratch Cat Pokémon,,,0.4,4.2,Normal,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokémon's weaker moves.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Red,40,45,35,40,40,90,290,0,0,0,0,0,1,1,1000000,
52,Meowth,Scratch Cat Pokémon,Alola,,0.4,4.2,Dark,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokémon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Sun,40,35,35,50,40,90,290,0,0,0,0,0,1,1,1000000,
52,Meowth,Scratch Cat Pokémon,Galar,,0.4,7.5,Steel,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Tough Claws,Powers up moves that make direct contact.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Sword,50,65,55,40,40,40,290,0,0,0,0,0,1,1,1000000,
52,Meowth,Scratch Cat Pokémon,Gigantamax,,33.0,0.0,Normal,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokémon's weaker moves.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Sword,40,45,35,40,40,90,290,0,0,0,0,0,1,1,1000000,
53,Persian,Classy Cat Pokémon,,,1.0,32.0,Normal,,Limber,Its limber body protects the Pokémon from paralysis.,Technician,Powers up the Pokémon's weaker moves.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Red,65,70,60,65,65,115,440,0,0,0,0,0,2,2,1000000,96.0
53,Persian,Classy Cat Pokémon,Alola,,1.1,33.0,Dark,,Fur Coat,Halves the damage from physical moves.,Technician,Powers up the Pokémon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Sun,65,60,60,75,65,115,440,0,0,0,0,0,2,2,1000000,97.0
54,Psyduck,Duck Pokémon,,,0.8,19.6,Water,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Red,50,52,48,65,50,55,320,0,0,0,1,0,0,1,1000000,
55,Golduck,Duck Pokémon,,,1.7,76.6,Water,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Red,80,82,78,95,80,85,500,0,0,0,2,0,0,2,1000000,102.0
56,Mankey,Pig Monkey Pokémon,,,0.5,28.0,Fighting,,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Red,40,80,35,35,45,70,305,0,1,0,0,0,0,1,1000000,
57,Primeape,Pig Monkey Pokémon,,,1.0,32.0,Fighting,,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Red,65,105,60,60,70,95,455,0,2,0,0,0,0,2,1000000,895.0
58,Growlithe,Puppy Pokémon,,,0.7,19.0,Fire,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",Red,55,70,45,70,50,60,350,0,1,0,0,0,0,1,1250000,
58,Growlithe,Scout Pokémon,Hisui,,0.8,22.7,Fire,Rock,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Rock Head,Protects the Pokémon from recoil damage.,Legends Arceus,60,75,45,65,50,55,350,0,1,0,0,0,0,1,1250000,
59,Arcanine,Legendary Pokémon,,,1.9,155.0,Fire,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",Red,90,110,80,100,80,95,555,0,2,0,0,0,0,2,1250000,949.0
59,Arcanine,Legendary Pokémon,Hisui,,2.0,168.0,Fire,Rock,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Rock Head,Protects the Pokémon from recoil damage.,Legends Arceus,95,115,80,95,80,90,555,0,2,0,0,0,0,2,1250000,1615.0
60,Poliwag,Tadpole Pokémon,,,0.6,12.4,Water,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokémon's Speed stat in rain.,Red,40,50,40,40,40,90,300,0,0,0,0,0,1,1,1059860,
